STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,11231,25.38,16.92,13.51,9.28,19.1,15.8,17020
36,NY,11232,48.91,24.34,12.99,6.07,6.14,1.56,12860
36,NY,11233,45.06,29.11,13.79,6,5.07,0.97,31980
36,NY,11234,33.79,22.96,15.18,10.24,14.1,3.74,42560
36,NY,11235,43.39,21.73,12.66,7.98,10.75,3.49,38700
36,NY,11236,40.17,28.3,15.11,8.14,7.53,0.75,47920
36,NY,11237,44.46,31.14,14.12,5.27,4.34,0.67,23730
36,NY,11238,25.05,21.49,18.58,10.83,15.9,8.14,30940
36,NY,11239,39.94,30.65,18.31,6.8,4.3,0,7210
36,NY,11354,58.94,18.64,9.27,5.52,6.15,1.48,30420
36,NY,11355,68.58,16.62,6.91,3.53,3.63,0.73,50960
36,NY,11356,47.33,23.59,11.87,7.27,8.4,1.53,12380
36,NY,11357,31.03,17.93,14.56,10.83,18.79,6.85,19850
36,NY,11358,42.31,20.18,12.22,8.11,13.22,3.95,18980
36,NY,11360,26.79,16.24,13.94,12.05,22.21,8.76,10040
36,NY,11361,35.53,19.89,13.85,9.91,15.79,5.03,13930
